index,x,y
1,20.5,17.0594561416631
2,2.2,3.93469984871422
3,36.6,15.6426726215457
4,36.5,10.1145616251325
5,14.4,-8.1891049955086
6,9,8.81522950621533
7,46,14.5826868946996
8,44.8,8.4544790765086
9,26.9,24.6295600734041
10,25.1,8.23263851476424
11,2.7,-4.50458848492674
12,13.7,1.57496873492224
13,24.9,-2.0598676917864
14,37.1,4.78045453553792
15,45.8,4.36512512230847
16,40.5,0.681650080197212
17,25.4,5.89847833251319
18,33.2,1.65616986778645
19,31.3,9.348255646751
20,47.9,-5.03393708000247
21,41.3,-3.73376327605501
22,3.7,6.17824791236918
23,40,8.39120176969636
24,46.1,-3.21664148825324
25,21.9,18.5850183381813
26,4.2,0.427349892222644
27,27.5,4.44440459330306
28,1.3,10.5889249729253
29,30.5,8.88317117039459
30,20.3,8.10549588890628
31,3.4,16.8335187770996
32,35.3,12.6077773495568
33,2.6,7.83563793680873
34,0.6,1.53223120366909
35,46.4,7.20884841104953
36,42.6,-0.708435680364844
37,44,0.70964898470881
38,36,2.56537874844233
39,42.2,-6.69374712145111
40,34.3,12.3814764855259
41,7.5,-6.06535489365669
42,23.5,-1.8903479818749
43,30.1,14.5704932142582
44,25.6,11.8138391892243
45,13.8,-0.845774640477
46,14,-3.26829448959841
47,10.7,-4.85047424881978
48,23,9.77152996153214
49,40.4,11.4214677737177
50,44.5,-6.40624520766938
